"","gene","log2fc","pval","avg_expr","celltype"
"323","Lyn",5.88350282706213,0,4.4928711910043,"Immune_cells"
"324","Lyz2",9.37930016071722,0,1.51463510678877,"Immune_cells"
"325","Mafb",5.23401895734581,0,2.85665837516271,"Immune_cells"
"326","Man2b1",4.06121599064646,0,4.54478720307923,"Immune_cells"
"327","Mapkapk3",3.52593615140516,0,3.55464762618483,"Immune_cells"
"328","Mertk",5.96983691726929,0,2.25483496847619,"Immune_cells"
"329","Mgl2",5.99451303554579,0,-0.946479818218741,"Immune_cells"
"330","Mir142hg",8.65163424971965,0,0.21955637733842,"Immune_cells"
"331","Mir223hg",5.67249746999356,0,-1.03602704918794,"Immune_cells"
"332","Mmp12",7.73373647997664,0,-0.290839476526324,"Immune_cells"
"333","Mmp13",6.87725826398076,0,-0.908978456672393,"Immune_cells"
"334","Mpeg1",9.00974227241934,0,0.235392994054815,"Immune_cells"
"335","Mrc1",7.49202080373434,0,1.04341695081549,"Immune_cells"
"336","Ms4a14",6.92065374750561,0,-0.681879043147744,"Immune_cells"
"337","Ms4a4a",5.55485547825965,0,-1.13410688330903,"Immune_cells"
"338","Ms4a4c",7.01444495753631,0,-0.80098527441463,"Immune_cells"
"339","Ms4a6b",8.38865299919787,0,-0.286742155835389,"Immune_cells"
"340","Ms4a6c",8.72013234957663,0,0.158656046946304,"Immune_cells"
"341","Ms4a6d",8.41354684477518,0,-0.47159584935194,"Immune_cells"
"342","Ms4a7",9.53867482603884,0,0.718687988078639,"Immune_cells"
"343","Msr1",7.21082678106145,0,-0.740221486410118,"Immune_cells"
"344","Myo1f",7.13138599569555,0,0.958567597845913,"Immune_cells"
"345","Myo1g",6.74528236375488,0,-0.317144961831878,"Immune_cells"
"346","Napsa",5.89825837413555,0,0.21371582089752,"Immune_cells"
"347","Ncf1",6.93299941412846,0,0.456842502259124,"Immune_cells"
"348","Ncf2",7.34333241170289,0,0.880503935709811,"Immune_cells"
"349","Ncf4",7.71377966401961,0,-0.569641001850283,"Immune_cells"
"350","Nckap1l",6.67472160268005,0,1.36870299750484,"Immune_cells"
"351","Neurl3",7.68900344804497,0,0.421400198484749,"Immune_cells"
"352","Nfam1",6.60876314405196,0,-0.0963311488383663,"Immune_cells"
"353","Nlrp1b",7.40618019360116,0,-0.168434729706551,"Immune_cells"
"354","Nlrp3",8.60322581238744,0,-0.231892627313145,"Immune_cells"
"355","Nrros",6.15165408854527,0,1.76655186315947,"Immune_cells"
"356","Ophn1",2.34243841348402,0,6.38491523311004,"Immune_cells"
"357","Or5v1",5.19310780486839,0,-1.18436977130039,"Immune_cells"
"358","Or5v1b",7.14708830544877,0,-0.869008266867321,"Immune_cells"
